Team,Rating,Offense,Defense,Special Teams
39. Liberty (1-0),8.5,35.3 (24),26.8 (70),0.0 (74)
40. Nebraska (1-1),8.4,31.2 (45),22.9 (42),0.1 (24)
41. Oklahoma St. (1-0),8.4,28.0 (73),19.6 (17),0.1 (15)
42. App. St. (1-0),8.2,30.1 (52),21.9 (35),0.0 (45)
43. Tennessee (1-0),8.0,28.4 (69),20.5 (22),0.1 (5)
44. BYU (1-0),6.9,33.4 (35),26.6 (67),0.0 (31)
45. Arkansas (1-0),6.6,29.2 (61),22.7 (38),0.0 (53)
46. Kansas St. (1-0),6.5,31.9 (42),25.5 (56),0.1 (28)
47. Troy (1-0),6.4,29.3 (60),22.8 (41),0.0 (71)
48. UAB (1-0),6.4,23.9 (95),17.4 (12),-0.1 (122)
49. Florida St. (0-1),6.3,33.8 (32),27.4 (74),0.0 (92)
50. LSU (0-1),6.2,32.7 (40),26.5 (66),0.0 (39)
51. Indiana (0-1),5.9,29.3 (59),23.4 (44),0.0 (88)
52. Louisiana (0-1),5.8,31.3 (44),25.5 (57),0.0 (59)
53. Toledo (1-0),5.7,30.0 (54),24.4 (51),0.0 (55)
54. SMU (0-0),5.4,32.9 (38),27.5 (75),0.0 ()
55. Tulane (0-1),5.3,34.5 (28),29.1 (83),-0.1 (112)
56. Purdue (1-0),5.1,34.2 (29),29.1 (81),0.0 (48)
57. Texas Tech (1-0),4.8,31.2 (46),26.4 (64),0.0 (51)
58. Boise St. (0-1),4.6,30.7 (49),26.2 (62),0.1 (22)
59. Missouri (1-0),3.9,28.6 (66),24.8 (53),0.1 (6)
60. Miss. St. (1-0),3.9,27.2 (78),23.2 (43),-0.1 (113)
61. Marshall (1-0),3.6,24.9 (91),21.4 (28),0.0 (47)
62. Fresno St. (1-1),3.0,32.7 (39),29.6 (86),-0.2 (129)
63. Wake Forest (1-0),2.7,28.6 (65),25.9 (59),-0.1 (107)
64. Baylor (1-0),2.6,22.3 (102),19.7 (18),0.0 (67)
65. W. Virginia (0-1),2.6,26.9 (82),24.3 (47),0.0 (102)
66. Wash. St. (0-1),2.6,35.7 (18),33.1 (103),0.0 (70)
67. Nevada (1-0),2.5,29.1 (62),26.6 (69),0.0 (94)
68. Buffalo (1-0),2.4,28.3 (71),26.0 (60),0.1 (14)
69. S. Carolina (1-0),2.2,27.9 (75),25.7 (58),0.0 (58)
70. Rutgers (1-0),1.2,25.8 (86),24.6 (52),0.0 (42)
71. Wyoming (1-0),1.1,22.1 (104),21.0 (25),0.0 (29)
72. California (0-1),0.5,28.6 (67),28.0 (77),-0.1 (114)
73. Army (1-0),0.1,24.4 (94),24.3 (49),0.0 (40)
74. Louisville (0-1),-0.3,33.9 (31),34.3 (108),0.0 (61)
75. Colorado (1-0),-0.5,25.5 (87),26.0 (61),0.0 (93)
76. UTSA (1-0),-0.5,28.5 (68),29.1 (82),0.0 (49)
77. San Jose St. (1-1),-0.7,27.0 (80),27.6 (76),0.0 (96)
78. Tulsa (0-1),-0.7,22.9 (99),23.7 (45),0.0 (41)
79. Ga. Tech (0-1),-1.5,25.3 (89),26.8 (71),-0.1 (104)
80. Illinois (1-1),-1.7,27.4 (77),29.3 (85),0.1 (3)
81. San Diego St. (1-0),-2.6,16.1 (121),18.7 (14),0.0 (64)
82. FAU (0-1),-2.8,22.7 (100),25.4 (55),-0.1 (117)
83. Syracuse (1-0),-3.1,23.4 (97),26.6 (68),0.1 (21)
84. Arkansas St. (1-0),-3.4,30.8 (48),34.3 (109),0.0 (76)
85. Oregon St. (0-1),-3.9,32.3 (41),36.2 (117),0.0 (60)
86. WKU (1-0),-4.1,20.9 (107),25.1 (54),0.1 (10)
87. Houston (0-1),-4.3,26.1 (85),30.4 (89),0.0 (90)
88. Arizona (0-1),-4.4,28.0 (72),32.3 (99),-0.1 (106)
89. FIU (1-0),-4.5,22.4 (101),27.0 (73),0.1 (7)
90. Stanford (0-1),-4.7,27.5 (76),32.1 (98),-0.1 (120)
91. EMU (1-0),-5.6,33.1 (36),38.8 (123),0.0 (69)
92. ECU (0-1),-5.8,27.0 (81),32.8 (101),0.0 (32)
93. Georgia St. (0-1),-5.9,29.7 (57),35.6 (116),0.0 (56)
94. MTSU (1-0),-6.0,24.7 (93),30.7 (92),0.0 (79)
95. CMU (0-1),-6.1,24.8 (92),30.9 (93),0.0 (52)
96. N. Texas (1-0),-6.3,28.0 (74),34.2 (107),0.0 (98)
97. WMU (0-1),-6.9,28.4 (70),35.1 (113),-0.1 (128)
98. Air Force (1-0),-7.0,22.2 (103),29.2 (84),0.0 (50)
99. Northwestern (0-1),-7.0,15.5 (122),22.5 (37),-0.1 (116)
100. Ball St. (1-0),-7.6,26.7 (83),34.4 (110),0.1 (16)
101. Ohio (0-1),-8.7,26.3 (84),34.9 (112),-0.1 (121)
102. Ga. Southern (1-0),-9.1,20.7 (109),29.8 (88),0.1 (20)
103. Hawaii (1-1),-9.9,25.4 (88),35.5 (115),0.2 (1)
104. Utah St. (1-0),-10.2,23.2 (98),33.5 (104),0.1 (17)
105. Colorado St. (0-1),-10.7,18.9 (114),29.7 (87),0.0 (85)
106. S. Alabama (1-0),-10.8,20.1 (111),31.0 (94),0.1 (8)
107. Kent St. (0-1),-11.1,29.1 (63),40.1 (125),-0.1 (123)
108. NIU (1-0),-11.1,19.4 (112),30.5 (90),-0.1 (108)
109. La. Tech (0-1),-12.0,22.0 (105),33.8 (105),-0.1 (115)
110. Charlotte (1-0),-12.3,28.9 (64),41.1 (126),0.0 (95)
111. Duke (0-1),-12.4,19.2 (113),31.6 (96),0.0 (54)
112. So. Miss (0-1),-13.3,17.3 (119),30.6 (91),0.0 (83)
113. Texas St. (0-1),-13.3,24.9 (90),38.2 (122),0.0 (97)
114. Vanderbilt (0-1),-13.6,17.9 (117),31.6 (97),0.1 (19)
115. Temple (0-1),-13.9,18.6 (115),32.4 (100),0.0 (100)
116. USF (0-1),-13.9,17.5 (118),31.4 (95),0.0 (86)
117. Miami-OH (0-1),-14.3,20.2 (110),34.4 (111),-0.1 (118)
118. Rice (0-1),-14.4,13.9 (125),28.2 (78),-0.1 (124)
119. UTEP (2-0),-14.6,23.5 (96),38.1 (121),0.1 (9)
120. Kansas (1-0),-15.6,18.3 (116),34.0 (106),0.0 (38)
121. UNLV (0-1),-16.1,21.1 (106),37.2 (118),0.1 (26)
122. New Mexico (1-0),-16.6,20.9 (108),37.4 (119),0.0 (75)
123. Navy (0-1),-17.6,15.4 (123),32.9 (102),-0.1 (126)
124. BGSU (0-1),-24.0,11.3 (128),35.3 (114),0.0 (44)
125. ULM (0-1),-24.7,17.0 (120),41.7 (127),0.0 (78)
126. Akron (0-1),-25.7,13.7 (126),39.4 (124),0.0 (65)
127. ODU (0-1),-29.3,8.5 (130),37.8 (120),0.0 (72)
128. UConn (0-2),-30.3,13.4 (127),43.6 (128),-0.1 (103)
129. UMass (0-1),-32.8,14.5 (124),47.2 (130),-0.1 (125)
130. NMSU (0-2),-33.6,10.5 (129),43.9 (129),-0.1 (127)
