Team,Rating,Offense,Defense
72. Army,-0.6,23.4 (93),24.0 (49)
73. UAB,-0.9,20.7 (106),21.6 (39)
74. Nevada,-1.1,28.7 (70),29.8 (83)
75. Northwestern,-1.1,17.2 (124),18.3 (14)
76. Georgia St.,-1.9,30.3 (58),32.2 (101)
77. Buffalo,-2.0,27.0 (80),29.0 (79)
78. Fresno St.,-2.1,30.8 (55),32.9 (105)
79. Toledo,-2.1,26.7 (83),28.8 (76)
80. Wyoming,-2.1,20.7 (107),22.8 (42)
81. SJSU,-2.3,26.6 (84),28.9 (78)
82. CMU,-2.4,27.3 (78),29.7 (82)
83. Illinois,-2.6,28.7 (72),31.2 (91)
84. SDSU,-3.0,17.7 (123),20.8 (33)
85. WMU,-3.1,32.8 (42),35.9 (114)
86. Marshall,-3.3,20.2 (110),23.5 (46)
87. UTSA,-4.4,27.3 (77),31.8 (97)
88. Ga. Southern,-4.7,22.5 (98),27.2 (64)
89. Ohio,-5.2,26.8 (81),32.0 (100)
90. S. Carolina,-5.3,26.0 (87),31.3 (92)
91. ECU,-5.6,26.3 (85),31.9 (98)
92. Arizona,-5.7,27.8 (76),33.5 (106)
93. Air Force,-6.3,23.9 (92),30.1 (86)
94. Rutgers,-6.9,22.5 (97),29.4 (81)
95. Syracuse,-7.0,21.7 (99),28.7 (73)
96. Colorado St.,-7.2,21.5 (102),28.6 (72)
97. FAU,-8.0,20.7 (105),28.7 (75)
98. WKU,-8.1,17.8 (121),25.9 (61)
99. Arkansas St.,-8.6,28.2 (74),36.7 (117)
100. Navy,-9.2,20.1 (112),29.4 (80)
101. So. Miss,-9.3,21.2 (103),30.5 (88)
102. Duke,-9.3,19.3 (113),28.6 (71)
103. Rice,-9.4,14.9 (127),24.3 (52)
104. USF,-9.9,18.9 (115),28.8 (77)
105. Hawaii,-10.2,24.9 (91),35.1 (111)
106. N. Texas,-10.5,27.2 (79),37.8 (119)
107. EMU,-11.2,31.5 (48),42.7 (127)
108. Vanderbilt,-12.7,21.1 (104),33.7 (107)
109. Texas St.,-13.1,25.5 (88),38.5 (120)
110. Miami-OH,-13.2,23.3 (95),36.5 (116)
111. Kent St.,-13.2,28.7 (71),41.9 (123)
112. NIU,-13.7,18.2 (119),31.9 (99)
113. Kansas,-13.9,18.7 (116),32.7 (103)
114. FIU,-14.0,16.8 (125),30.7 (89)
115. MTSU,-14.1,21.7 (100),35.8 (113)
116. S. Alabama,-14.5,21.6 (101),36.2 (115)
117. Charlotte,-15.2,26.7 (82),42.0 (124)
118. La. Tech,-15.4,18.5 (118),33.9 (108)
119. Temple,-15.9,18.7 (117),34.6 (110)
120. ODU,-15.9,14.0 (128),29.9 (84)
121. Utah St.,-17.5,20.1 (111),37.6 (118)
122. Akron,-18.7,16.6 (126),35.3 (112)
123. UNLV,-19.5,19.2 (114),38.7 (121)
124. New Mexico,-20.0,22.8 (96),42.8 (128)
125. BGSU,-20.9,13.1 (129),34.0 (109)
126. UL-Monroe,-21.6,20.5 (109),42.1 (125)
127. UConn,-22.3,17.7 (122),40.0 (122)
128. UTEP,-24.5,17.9 (120),42.4 (126)
129. UMass,-24.9,20.6 (108),45.6 (130)
130. NMSU,-31.5,12.2 (130),43.8 (129)
